"ward_no","gender","age","ethnicity","mother_tongue","religion","education","economically_active","marital_status","disability_type","health_status","disease_name"
"ward_6","male","56","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_7","female","29","पहाडी जनजाती","नेवारी","हिन्दू",,"No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_6","female","52","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_6","female","24","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातकोतर तह","yes","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_6","male","22","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातक तह","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_6","male","54","पहाडी जनजाती","नेवारी","हिन्दू","पूर्व प्राथमिक","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_6","female","54","पहाडी जनजाती","नेवारी","हिन्दू","साधारण लेखपढ (साक्षर)","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_6","female","29","पहाडी जनजाती","नेवारी","हिन्दू","स्नातक तह","yes","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_7","female","21","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातकोतर तह","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_6","male","30","पहाडी जनजाती","नेवारी","हिन्दू","माध्यमिक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_9","female","7","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","पूर्व प्राथमिक","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
